
 OVERVIEW
 
key,value
version,2.0
generator,glTF-Transform v4.2.1
extensionsUsed,none
extensionsRequired,none




 SCENES
 
#,name,rootName,bboxMin,bboxMax,renderVertexCount,uploadVertexCount,uploadNaiveVertexCount
54,grp1_1,TRIANGLES,1,4900,3634,u16,"NORMAL:f32, POSITION:f32",1,116616
55,grp1_1,TRIANGLES,1,1536,1019,u16,"NORMAL:f32, POSITION:f32",1,33672
56,grp1_1,TRIANGLES,1,1536,1019,u16,"NORMAL:f32, POSITION:f32",1,33672
57,grp1_1,TRIANGLES,1,368,250,u16,"NORMAL:f32, POSITION:f32",1,8208
58,grp1_1,TRIANGLES,1,368,250,u16,"NORMAL:f32, POSITION:f32",1,8208
59,grp1_1,TRIANGLES,1,111826,63907,u16,"NORMAL:f32, POSITION:f32",1,2204724
60,grp1_1,TRIANGLES,1,111826,63893,u16,"NORMAL:f32, POSITION:f32",1,2204388
61,grp1_1,TRIANGLES,1,9468,6741,u16,"NORMAL:f32, POSITION:f32",1,218592
62,grp1_1,TRIANGLES,1,9468,6746,u16,"NORMAL:f32, POSITION:f32",1,218712
63,grp1_1,TRIANGLES,1,49212,28465,u16,"NORMAL:f32, POSITION:f32",1,978432
64,grp1_1,TRIANGLES,1,49212,28450,u16,"NORMAL:f32, POSITION:f32",1,978072
65,grp1_1,TRIANGLES,1,1640,1155,u16,"NORMAL:f32, POSITION:f32",1,37560
66,grp1_1,TRIANGLES,1,1640,1158,u16,"NORMAL:f32, POSITION:f32",1,37632
67,grp1_1,TRIANGLES,1,4188,4749,u16,"NORMAL:f32, POSITION:f32",1,139104
68,grp1_1,TRIANGLES,1,4188,4745,u16,"NORMAL:f32, POSITION:f32",1,139008
69,grp1_1,TRIANGLES,1,7114,5480,u16,"NORMAL:f32, POSITION:f32",1,174204
70,grp1_1,TRIANGLES,1,7114,5466,u16,"NORMAL:f32, POSITION:f32",1,173868
71,grp1_1,TRIANGLES,1,1924,1594,u16,"NORMAL:f32, POSITION:f32",1,49800
72,grp1_1,TRIANGLES,1,1924,1591,u16,"NORMAL:f32, POSITION:f32",1,49728
73,grp1_1,TRIANGLES,1,1278,1105,u16,"NORMAL:f32, POSITION:f32",1,34188
74,grp1_1,TRIANGLES,1,1278,1106,u16,"NORMAL:f32, POSITION:f32",1,34212
75,grp1_1,TRIANGLES,1,1746,1256,u16,"NORMAL:f32, POSITION:f32",1,40620
76,grp1_1,TRIANGLES,1,444,449,u16,"NORMAL:f32, POSITION:f32",1,13440
77,grp1_1,TRIANGLES,1,4718,3311,u16,"NORMAL:f32, POSITION:f32",1,107772
78,grp1_1,TRIANGLES,1,4718,3324,u16,"NORMAL:f32, POSITION:f32",1,108084
79,grp1_1,TRIANGLES,1,7202,5057,u16,"NORMAL:f32, POSITION:f32",1,164580
80,grp1_1,TRIANGLES,1,7202,5063,u16,"NORMAL:f32, POSITION:f32",1,164724
81,grp1_1,TRIANGLES,1,2206,1506,u16,"NORMAL:f32, POSITION:f32",1,49380
82,grp1_1,TRIANGLES,1,2206,1505,u16,"NORMAL:f32, POSITION:f32",1,49356
83,grp1_1,TRIANGLES,1,400,213,u16,"NORMAL:f32, POSITION:f32",1,7512
84,grp1_1,TRIANGLES,1,400,213,u16,"NORMAL:f32, POSITION:f32",1,7512
85,grp1_1,TRIANGLES,1,80,63,u16,"NORMAL:f32, POSITION:f32",1,1992
86,grp1_1,TRIANGLES,1,766,524,u16,"NORMAL:f32, POSITION:f32",1,17172
87,grp1_1,TRIANGLES,1,766,519,u16,"NORMAL:f32, POSITION:f32",1,17052
88,grp1_1,TRIANGLES,1,304,218,u16,"NORMAL:f32, POSITION:f32",1,7056
89,grp1_1,TRIANGLES,1,418,343,u16,"NORMAL:f32, POSITION:f32",1,10740
90,grp1_1,TRIANGLES,1,418,343,u16,"NORMAL:f32, POSITION:f32",1,10740
91,grp1_1,TRIANGLES,1,2488,1473,u16,"NORMAL:f32, POSITION:f32",1,50280
92,grp1_1,TRIANGLES,1,2488,1471,u16,"NORMAL:f32, POSITION:f32",1,50232
93,grp1_1,TRIANGLES,1,203382,102467,u32,"NORMAL:f32, POSITION:f32",1,4899792
94,grp1_1,TRIANGLES,1,68522,35527,u16,"NORMAL:f32, POSITION:f32",1,1263780
95,grp1_1,TRIANGLES,1,38274,56947,u16,"NORMAL:f32, POSITION:f32",1,1596372




 MATERIALS
 
#,name,instances,textures,alphaMode,doubleSided
0,mtl1,1,,OPAQUE,
1,mtl1,1,,OPAQUE,
2,mtl1,1,,OPAQUE,
3,mtl1,1,,OPAQUE,
4,mtl1,1,,OPAQUE,
5,mtl1,1,,OPAQUE,
6,mtl1,1,,OPAQUE,
7,mtl1,1,,OPAQUE,
8,mtl1,1,,OPAQUE,
9,mtl1,1,,OPAQUE,
